id,title,category,location,experience,skills,description
1,Python Developer,Software Development,Bangalore,Entry Level,"Python,Git,SQL,REST API","Develop and maintain Python applications and backend services."
2,Data Analyst,Data,Bangalore,Entry Level,"Python,SQL,Pandas,Excel,Statistics","Analyze business data and create reports and dashboards."
3,Machine Learning Intern,Machine Learning,Hyderabad,Internship,"Python,Machine Learning,Pandas,NumPy,Scikit-learn","Assist in building and evaluating machine learning models."
4,Frontend Developer,Web Development,Delhi,Entry Level,"HTML,CSS,JavaScript,React,Git","Build responsive and interactive web interfaces."
5,Backend Developer,Software Development,Bangalore,Entry Level,"Python,FastAPI,REST API,SQL,Git","Develop APIs and backend services for web applications."
6,Data Scientist,Data Science,Bangalore,Mid Level,"Python,SQL,Pandas,NumPy,Statistics,Machine Learning,Scikit-learn","Build data science models and extract insights from complex datasets."
7,BI Analyst,Data,Noida,Entry Level,"SQL,Excel,Power BI,Statistics,Data Visualization","Create business intelligence reports and dashboards."
8,AI Engineer,Artificial Intelligence,Hyderabad,Mid Level,"Python,Machine Learning,Deep Learning,TensorFlow,NumPy","Develop and deploy artificial intelligence solutions."
9,Full Stack Developer,Web Development,Bangalore,Entry Level,"HTML,CSS,JavaScript,React,Python,SQL,REST API,Git","Develop complete frontend and backend web applications."
10,Automation Engineer,Automation,Pune,Entry Level,"Python,Selenium,SQL,Git,REST API","Build automated testing and workflow solutions."
11,Cloud Python Engineer,Cloud Computing,Bangalore,Mid Level,"Python,AWS,Docker,REST API,Linux,Git","Build Python services and applications for cloud environments."
12,Product Data Intern,Data,Delhi,Internship,"Python,SQL,Pandas,Excel,Statistics","Support product teams through data analysis and experimentation."
13,Junior Python Developer,Software Development,Noida,Entry Level,"Python,Git,SQL,REST API,FastAPI","Work on Python applications and backend API development."
14,Junior Data Analyst,Data,Delhi,Entry Level,"Python,SQL,Excel,Pandas,Statistics","Prepare datasets and generate analytical reports."
15,Junior ML Engineer,Machine Learning,Bangalore,Entry Level,"Python,Machine Learning,NumPy,Scikit-learn,Git","Support machine learning model development and deployment."
